#{"t_start": 1672151397.2357304, "env_id": null}
r,l,t
-38,7,40.90596
-4,7,41.267498
-5,2,41.270135
29,19,41.678042
1,14,42.074254
12,16,42.431609
5,9,42.879368
0,2,42.881013
11,24,43.247685
-6,1,43.658679
-4,3,43.664431
48,53,43.734332
28,54,44.141719
-5,1,44.142556
77,26,44.521058
-1,3,44.869008
-5,4,44.87495
4,21,44.89944
-5,1,44.900326
-2,2,44.901847
16,17,44.918673
-39,1,44.919537
4,4,44.924817
-22,10,44.934082
-4,2,44.935561
-6,1,44.936391
-3,4,44.939192
4,6,44.948528
-1,7,44.95612
-30,4,44.958994
71,11,44.971668
5,9,44.98162
1,7,44.989566
-37,3,44.991928
0,11,45.00219
-2,13,45.013726
5,5,45.019573
6,20,45.038129
-509,29,45.065575
42,38,45.101104
-32,3,45.103318
-2,8,45.11117
53,15,45.12382
-2,4,45.129119
8,11,45.139148
0,2,45.140627
5,5,45.144147
-1,11,45.154029
-18,15,45.169054
-4,2,45.170523
-1,5,45.17635
14,21,45.195487
-38,2,45.197007
1,9,45.208048
81,26,45.243964
7,6,45.254536
17,19,45.282912
3,5,45.287951
-6,4,45.29684
-3,3,45.299628
-3,1,45.300831
-3,1,45.302442
3,11,45.318043
-3,1,45.322173
4,7,45.329087
6,10,45.34341
-34,6,45.353872
7,14,45.373986
3,8,45.386795
5,6,45.396311
-35,6,45.402483
11,16,45.425436
42,36,45.477728
1,9,45.490781
2,4,45.498544
35,39,45.553986
-3,7,45.561384
-2,4,45.568217
8,14,45.582025
-59,4,45.58756
-5,3,45.589922
13,8,45.59832
-61,1,45.59915
-5,2,45.600671
4,3,45.602793
2,11,45.613146
-10,6,45.61974
19,22,45.640015
10,13,45.651474
-1,3,45.656019
-31,8,45.664001
-5,1,45.664801
19,13,45.676309
-6,1,45.677117
31,32,45.706497
-23,13,45.72101
-25,10,45.733817
-32,3,45.736082
44,17,45.753069
4,6,45.757362
-1,2,45.758796
9,18,45.775884
23,19,45.793969
-3,1,45.79478
-26,13,45.80635
9,37,45.841888
1,6,45.848462
0,9,45.857239
-24,11,45.868089
-5,6,45.872796
16,18,45.890545
1,6,45.897162
-38,2,45.898654
-3,6,45.905768
8,13,45.917358
-27,5,45.920986
21,14,45.935997
45,15,45.94939
20,18,45.966601
-5,9,45.975425
-26,13,45.986861
5,16,46.003094
7,5,46.006686
7,10,46.015957
5,9,46.02452
-60,2,46.025978
-38,4,46.031092
8,23,46.051612
11,18,46.068942
5,4,46.071828
-33,3,46.07628
2,5,46.079784
-5,4,46.084877
-2,7,46.089773
-1,3,46.094192
10,11,46.104226
12,7,46.10918
10,26,46.134147
5,7,46.141474
94,47,46.183035
-4,4,46.188236
-6,3,46.190372
-1,9,46.198896
-6,4,46.201767
-60,2,46.205485
-3,5,46.209037
-534,3,46.211159
7,6,46.217601
-34,3,46.219721
-6,1,46.220546
-5,1,46.221288
-1,3,46.225715
-22,15,46.238406
-36,2,46.239865
2,10,46.249052
-20,11,46.261163
15,16,46.274516
11,17,46.290906
10,14,46.30295
16,16,46.318719
-3,3,46.320897
11,15,46.335812
63,30,46.363245
8,13,46.374689
1,20,46.393306
-5,1,46.394081
-39,3,46.396285
15,12,46.409354
47,7,46.414385
-56,7,46.421611
11,9,46.430213
24,40,46.466733
67,24,46.488043
11,22,46.507869
17,17,46.524236
-2,5,46.530281
37,42,46.568417
-6,12,46.579107
16,31,46.60785
-1,10,46.617234
10,9,46.6259
26,37,46.664781
5,18,46.683383
-32,13,46.695148
-4,2,46.696706
17,46,47.952207
-5,1,47.953188
-3,6,47.957737
33,27,47.986126
-2,5,47.992677
-3,3,47.995499
-33,2,47.997088
68,10,48.006926
42,36,48.041689
2,32,48.071087
0,7,48.078353
-5,1,48.079177
1,5,48.082836
-60,10,48.092326
11,15,48.109107
-3,1,48.109888
-3,4,48.11275
-17,15,48.127743
-6,1,48.128561
32,24,48.150147
-2,3,48.152336
45,15,48.167898
-2,9,48.176606
-7,2,48.178106
4,16,48.19401
-1,3,48.196236
-1,3,48.198413
-3,1,48.199212
-26,12,48.212356
-9,3,48.214534
-7,21,48.234118
53,13,48.245773
-39,1,48.246547
6,8,48.254584
-5,2,48.256177
27,19,48.274197
7,11,48.284378
-3,1,48.285151
-34,1,48.288208
-21,12,48.303211
0,4,48.306562
41,42,48.368269
10,12,48.388626
12,10,48.402803
-52,11,48.419071
-4,2,48.421949
9,12,48.439406
-2,4,48.444321
9,12,48.463476
-5,2,48.465336
45,10,48.479296
-26,14,48.497483
1,8,48.508221
-3,6,48.518787
-39,1,48.519711
4,10,48.533742
36,8,48.545552
2,13,48.561885
-17,17,48.582177
2,6,48.586839
-4,2,48.589029
-7,3,48.594126
5,8,48.600829
-39,1,48.604667
33,49,48.655227
13,10,48.665624
9,7,48.674092
1,5,48.68037
-34,1,48.681148
20,25,48.704942
-37,3,48.709466
61,27,48.737292
-517,20,48.75775
-3,6,48.764505
-30,8,48.772603
60,18,48.78798
64,39,48.829995
17,18,48.84978
34,29,48.878543
-36,4,48.88149
-3,7,48.888906
19,19,48.906937
3,3,48.909159
-3,1,48.909911
-5,1,48.913127
-17,20,48.932077
14,19,48.947998
40,39,48.984909
-4,5,48.990911
-34,6,48.996263
2,6,49.002959
-32,3,49.00524
